title,genre,publisher,avg_ratings,na_sales,pal_sales,jp_sales,other_sales,total_sales,release_date,release_year
""Assassin's Creed: Unity"",Action,""Ubisoft"",NULL,3.79,3.37,0.09,1.03,8.28,2014-11-11,2014
""Overwatch"",Shooter,""Blizzard Entertainment"",9,3.84,3.12,0.17,1.05,8.18,2016-05-24,2016
""Madden NFL 08"",Sports,""EA Sports"",7.9,7.13,0.23,NULL,0.78,8.14,2007-08-14,2007
""Lego Marvel Super Heroes"",Action,""Warner Bros. Interactive Entertainment"",NULL,3.54,3.52,0.05,0.99,8.12,2013-10-22,2013
""Tony Hawk's Pro Skater 3"",Sports,""Activision"",8.8,5.16,2.29,0.03,0.58,8.05,2001-10-28,2001
""Need for Speed: Most Wanted"",Racing,""Electronic Arts"",8.6,4.44,2.81,0.1,0.68,8.03,2005-11-15,2005
""Mario & Sonic at the Olympic Winter Games"",Sports,""Sega"",7.2,3.08,3.6,0.49,0.85,8.01,2009-10-13,2009
""Batman: Arkham Asylum"",Action,""Eidos Interactive"",9.1,4.5,2.28,0.09,0.96,7.82,2009-08-25,2009
""Harry Potter and the Chamber of Secrets"",Adventure,""Electronic Arts"",7.2,3.66,3.18,0.11,0.68,7.64,2002-11-14,2002
""Madden NFL 2005"",Sports,""EA Sports"",9.4,6.85,0.53,0.01,0.21,7.6,2004-08-09,2004
""Namco Museum"",Misc,""Namco"",5.4,5.98,1.42,0.05,0.15,7.6,2000-06-25,2000
""Madden NFL 16"",Sports,""EA Sports"",8.2,6,0.48,NULL,1.13,7.59,2015-08-25,2015
""Madden NFL 10"",Sports,""EA Sports"",8.2,6.55,0.34,NULL,0.68,7.57,2009-08-13,2009
""Final Fantasy XIII"",Role-Playing,""Square Enix"",8,3.05,1.9,1.88,0.72,7.54,2010-03-09,2010
""Tomb Raider II"",Adventure,""Eidos Interactive"",7.9,3.21,3.71,0.2,0.41,7.53,1997-10-31,1997
""Call of Duty 3"",Shooter,""Activision"",7.8,4.15,2.42,0.05,0.91,7.52,2006-11-07,2006
""Tom Clancy's The Division"",Shooter,""Ubisoft"",NULL,3.29,3.04,0.16,0.97,7.44,2016-03-08,2016
""Madden NFL 15"",Sports,""EA Sports"",NULL,5.83,0.52,NULL,1.08,7.43,2014-08-26,2014
""WWE SmackDown vs Raw 2008"",Fighting,""THQ"",7.3,3.4,1.85,0.02,2.14,7.39,2007-11-13,2007
""Tom Clancy's Rainbow Six: Siege"",Shooter,""Ubisoft"",NULL,3.09,2.99,0.36,0.92,7.37,2015-12-01,2015
""Guitar Hero II"",Misc,""RedOctane"",9.2,5.82,0.65,NULL,0.85,7.33,2006-11-07,2006
""LEGO Star Wars III: The Clone Wars"",Action,""LucasArts"",7.2,3.84,2.71,NULL,0.76,7.33,2011-03-22,2011
""LEGO Star Wars II: The Original Trilogy"",Action,""LucasArts"",7.6,5.08,1.53,0.01,0.69,7.32,2006-09-12,2006
""FIFA Soccer 09"",Sports,""Electronic Arts"",8.5,1.48,3.29,0.06,2.49,7.32,2008-10-14,2008
""Rock Band"",Misc,""MTV Games"",8.6,4.96,1.36,NULL,0.98,7.28,2007-11-20,2007
""Street Fighter IV"",Fighting,""Capcom"",9.2,3.94,1.8,0.74,0.8,7.27,2009-02-17,2009
""NBA 2K14"",Sports,""2K Sports"",NULL,5.19,1,0.05,1.02,7.27,2013-10-01,2013
""LEGO Star Wars: The Video Game"",Action,""Eidos Interactive"",7.8,4.72,2.01,0.01,0.52,7.26,2005-03-29,2005
""NBA 2K15"",Sports,""2K Sports"",NULL,5.14,1.06,0.03,1.03,7.26,2014-10-07,2014
""Fallout: New Vegas"",Role-Playing,""Bethesda Softworks"",8.2,4.21,2.07,0.14,0.83,7.25,2010-10-19,2010
""Crash Bandicoot: The Wrath of Cortex"",Platform,""Universal Interactive"",6.4,3.12,2.98,0.24,0.91,7.24,2001-10-29,2001
""L.A. Noire"",Adventure,""Rockstar Games"",8.7,3.37,2.85,0.14,0.89,7.24,2011-05-17,2011
""Far Cry 3"",Shooter,""Ubisoft"",NULL,2.48,3.76,0.12,0.81,7.17,2012-12-04,2012
""Battlefield: Bad Company 2"",Shooter,""Electronic Arts"",8.9,3.63,2.65,0.12,0.77,7.16,2010-03-02,2010
""Madden NFL 2004"",Sports,""EA Sports"",9.4,5.9,0.46,0.01,0.78,7.14,2003-08-12,2003
""Madden NFL 09"",Sports,""EA Sports"",8,6.07,0.31,0,0.74,7.13,2008-08-12,2008
""Spider-Man: The Movie"",Action,""Activision"",7.8,4.64,2.06,0.04,0.32,7.07,2002-04-14,2002
""The Simpsons: Hit & Run"",Racing,""VU Games"",8,3.2,2.97,NULL,0.89,7.04,2003-09-16,2003
""The Simpsons Game"",Platform,""Electronic Arts"",6.8,2.52,2.56,NULL,1.96,7.04,2007-10-30,2007
""Assassin's Creed: Brotherhood"",Action,""Ubisoft"",9,4.9,1.3,0.14,0.64,6.97,2010-11-16,2010
""Borderlands 2"",Shooter,""2K Games"",NULL,3.71,2.23,0.15,0.87,6.95,2012-09-18,2012
""Just Dance 2014"",Music,""Ubisoft"",7.6,3.69,2.54,NULL,0.68,6.9,2013-10-08,2013
""PES 2009: Pro Evolution Soccer"",Sports,""Konami"",7.8,0.5,2.77,1,2.62,6.87,2008-10-17,2008
""Need for Speed: Undercover"",Racing,""Electronic Arts"",5.9,2.49,2.52,0.12,1.78,6.87,2008-11-17,2008
""Cars"",Racing,""THQ"",6.6,5.31,0.94,NULL,0.58,6.82,2006-06-06,2006
""Uncharted 2: Among Thieves"",Action,""Sony Computer Entertainment"",9.5,3.28,2.22,0.21,1.02,6.74,2009-10-13,2009
""Madden NFL 13"",Sports,""EA Sports"",7.4,5.61,0.4,NULL,0.74,6.74,2012-08-28,2012
""Medal of Honor: Rising Sun"",Shooter,""Electronic Arts"",6.2,3.07,2.68,0.13,0.86,6.72,2003-11-11,2003
""Madden NFL 11"",Sports,""EA Sports"",7.8,5.88,0.29,NULL,0.54,6.71,2010-08-10,2010
""Star Wars Battlefront II"",Shooter,""LucasArts"",7.7,4.48,1.61,0.04,0.55,6.66,2005-11-01,2005
""The Lord of the Rings: The Two Towers"",Action,""Electronic Arts"",8.3,3.33,2.5,0.08,0.75,6.65,2002-10-21,2002
""Destiny 2"",Shooter,""Activision"",NULL,3.67,1.96,0.1,0.93,6.65,2017-09-06,2017
""Tony Hawk's Pro Skater 2"",Sports,""Activision"",8.9,4.49,1.88,0.02,0.23,6.62,2000-09-20,2000
""Crash Bandicoot N. Sane Trilogy"",Platform,""Activision"",6,1.76,3.86,0.09,0.88,6.59,2017-06-30,2017
""Spider-Man 2"",Action,""Activision"",6.7,3.98,1.86,0.05,0.67,6.57,2004-06-28,2004
""Assassin's Creed Origins"",Action,""Ubisoft"",NULL,2.56,3.03,0.11,0.85,6.53,2017-10-27,2017
""Star Wars Battlefront II (2017)"",Shooter,""Electronic Arts"",NULL,2.87,2.6,0.12,0.9,6.5,2017-11-17,2017
""Tony Hawk's Underground"",Sports,""Activision"",8.8,4.11,1.84,0.01,0.5,6.47,2003-10-27,2003
""Madden NFL 17"",Sports,""EA Sports"",8.3,4.96,0.51,NULL,0.95,6.44,2016-08-23,2016
""Kung Fu Panda"",Platform,""Activision"",7.5,3.42,1.95,NULL,1.02,6.42,2008-06-03,2008
""Madden NFL 2002"",Sports,""EA Sports"",8.6,4.92,0.93,0.01,0.57,6.41,2001-08-13,2001
""LEGO Batman 2: DC Super Heroes"",Action-Adventure,""Warner Bros. Interactive Entertainment"",NULL,3.31,2.41,NULL,0.68,6.41,2012-06-19,2012
""FIFA 07 Soccer"",Sports,""EA Sports"",8,1.55,3.53,0.03,1.27,6.38,2006-10-03,2006
""Need for Speed Carbon"",Racing,""Electronic Arts"",7.6,3.54,2.12,0.12,0.58,6.38,2006-10-31,2006
""NBA 2K13"",Sports,""2K Sports"",8.6,4.8,0.76,0.06,0.72,6.35,2012-10-02,2012
""WWE SmackDown! vs. Raw 2006"",Fighting,""THQ"",8.2,3.38,2.14,0.04,0.77,6.34,2005-11-14,2005
""Minecraft"",Misc,""Sony Computer Entertainment"",9.4,1.89,3.13,0.35,0.96,6.33,2014-10-07,2014
""NBA 2K17"",Sports,""2K Sports"",8.9,4.4,0.91,0.05,0.93,6.28,2016-09-16,2016
""Driver"",Action,""GT Interactive"",8.5,3.11,2.8,0.02,0.33,6.27,1999-06-30,1999
""The Sims 4"",Simulation,""Electronic Arts"",7,2.06,3.56,0.01,0.59,6.22,2014-09-02,2014
""Final Fantasy XV"",Role-Playing,""Square Enix"",8.1,2.53,1.83,1.06,0.79,6.21,2016-11-29,2016
""Michael Jackson: The Experience"",Misc,""Ubisoft"",5.6,3.83,1.76,0.01,0.6,6.18,2010-11-23,2010
""Gran Turismo (PSP)"",Racing,""Sony Computer Entertainment"",7.8,0.94,2.5,0.62,2.02,6.09,2009-10-01,2009
""Grand Theft Auto: Vice City Stories"",Action,""Rockstar Games"",8.5,2.48,2.06,0.19,1.32,6.05,2006-10-31,2006
""NBA 2K18"",Sports,""2K Sports"",7.4,4.25,0.78,0.08,0.86,5.99,2017-09-19,2017
""Pro Evolution Soccer 2010"",Sports,""Konami"",7.3,0.73,2.64,0.87,1.73,5.98,2009-10-23,2009
""Toy Story 3: The Video Game"",Action,""Disney Interactive Studios"",7.5,2.71,2.49,0.02,0.73,5.96,2010-06-15,2010
""Tom Clancy's Splinter Cell"",Action,""Ubisoft"",9.3,3.18,2.2,NULL,0.54,5.9,2002-11-17,2002
""Madden NFL 2003"",Sports,""EA Sports"",9.2,4.8,0.48,0.01,0.61,5.89,2002-08-12,2002
