title,genre,publisher,avg_ratings,na_sales,pal_sales,jp_sales,other_sales,total_sales,release_date,release_year
""WWE SmackDown! Shut Your Mouth"",Fighting,""THQ"",NULL,1.32,1.29,0.04,NULL,2.66,2002-10-31,2002
""For Honor"",Action,""Ubisoft"",NULL,1.32,0.89,0.07,0.36,2.66,2017-02-14,2017
""Hot Shots Golf Fore!"",Sports,""Sony Computer Entertainment"",NULL,0.73,0.47,1.34,0.12,2.66,2004-08-17,2004
""Hannah Montana"",Action,""Buena Vista"",6.5,1.59,0.8,NULL,0.26,2.65,2006-10-10,2006
""Just Dance 3"",Misc,""Ubisoft"",6.5,1.81,0.6,NULL,0.25,2.65,2011-10-07,2011
""DiRT 2"",Racing,""Codemasters"",7.7,0.84,1.39,0,0.42,2.65,2009-09-08,2009
""Rayman Raving Rabbids 2"",Misc,""Ubisoft"",6.6,1.55,0.83,NULL,0.26,2.64,2007-11-13,2007
""Toy Story 2: Buzz Lightyear to the Rescue!"",Platform,""Activision"",NULL,1.7,0.84,NULL,0.09,2.64,1999-11-17,1999
""Prince of Persia: Warrior Within"",Adventure,""Ubisoft"",8.2,1.17,1.2,NULL,0.27,2.64,2004-11-30,2004
""Up"",Adventure,""THQ"",6.5,1.3,0.83,NULL,0.5,2.64,2009-05-26,2009
""Midnight Club: Street Racing"",Racing,""Rockstar Games"",NULL,2,0.47,0.02,0.14,2.63,2000-10-25,2000
""Guitar Hero: Warriors of Rock"",Misc,""Activision"",7.2,1.27,1.07,NULL,0.29,2.63,2010-09-28,2010
""Tiger Woods PGA Tour 07"",Sports,""EA Sports"",7.8,2.11,0.23,NULL,0.29,2.63,2006-10-10,2006
""Need for Speed Carbon: Own the City"",Racing,""Electronic Arts"",7.4,1.04,0.98,NULL,0.6,2.62,2006-10-31,2006
""MX vs. ATV Untamed"",Racing,""THQ"",5.6,1.96,0.36,NULL,0.32,2.62,2007-12-17,2007
""LittleBigPlanet"",Platform,""Sony Computer Entertainment"",8.9,0.65,1.27,0.01,0.68,2.61,2008-10-27,2008
""Injustice 2"",Fighting,""Warner Bros. Interactive Entertainment"",NULL,1.53,0.7,NULL,0.38,2.61,2017-05-16,2017
""Tom Clancy's Ghost Recon: Future Soldier"",Shooter,""Ubisoft"",NULL,1.4,0.83,0.11,0.28,2.61,2012-05-22,2012
""Streets of Rage"",Action,""Sega"",NULL,1.86,0.55,0.11,0.08,2.6,1990-12-31,1990
""Homefront"",Shooter,""THQ"",6.6,1.26,0.98,0.06,0.3,2.6,2011-03-15,2011
""EA Sports Active 2"",Sports,""Electronic Arts"",7.4,1.48,0.83,NULL,0.27,2.6,2010-11-16,2010
""Tiger Woods PGA Tour 2004"",Sports,""EA Sports"",6.8,1.9,0.55,NULL,0.12,2.59,2003-09-22,2003
""Rayman Origins"",Platform,""Ubisoft"",9,0.89,1.33,0.01,0.36,2.59,2011-11-15,2011
""Dragon Age II"",Role-Playing,""Electronic Arts"",7.9,1.35,0.88,0.06,0.29,2.58,2011-03-08,2011
""Dragon's Dogma"",Role-Playing,""Capcom"",NULL,0.83,0.73,0.79,0.22,2.56,2012-05-22,2012
""SSX 3"",Sports,""EA Sports BIG"",9.5,1.6,0.71,NULL,0.24,2.56,2003-10-20,2003
""NFL Blitz"",Sports,""Midway Games"",9.1,2.43,0.09,NULL,0.05,2.56,1998-09-09,1998
""[Prototype]"",Action,""Activision"",7.9,1.49,0.76,NULL,0.3,2.55,2009-06-09,2009
""Tony Hawk's Project 8"",Sports,""Activision"",7.2,1.87,0.36,0.01,0.33,2.55,2006-11-07,2006
""Scooby-Doo! Night of 100 Frights"",Platform,""THQ"",NULL,1.51,0.81,NULL,0.24,2.54,2002-05-20,2002
""ESPN NBA 2K5"",Sports,""Sega"",NULL,2.14,0.16,NULL,0.25,2.54,2004-09-28,2004
""NCAA Football 10"",Sports,""EA Sports"",7.8,2.09,0.22,NULL,0.22,2.54,2009-07-14,2009
""Crash Nitro Kart"",Racing,""VU Games"",NULL,1.18,1.13,NULL,0.22,2.52,2003-11-11,2003
""Shadow of the Tomb Raider"",Action-Adventure,""Square Enix"",NULL,1.05,1.07,0.06,0.34,2.52,2018-09-14,2018
""NCAA Football 2005"",Sports,""EA Sports"",NULL,2.12,0.15,NULL,0.26,2.52,2004-07-15,2004
""Conflict: Desert Storm"",Shooter,""Gotham Games"",6.3,1.52,0.92,NULL,0.08,2.52,2002-09-30,2002
""Disney Sing It"",Misc,""Disney Interactive Studios"",NULL,1.7,0.57,NULL,0.24,2.52,2008-10-21,2008
""Harry Potter and the Order of the Phoenix"",Adventure,""Electronic Arts"",4.9,1.31,0.88,NULL,0.31,2.52,2007-06-25,2007
""Rayman Raving Rabbids: TV Party"",Misc,""Ubisoft"",7.1,1.16,1.09,NULL,0.27,2.51,2008-11-18,2008
""Tom Clancy's Ghost Recon 2"",Shooter,""Ubisoft"",5.7,1.56,0.8,NULL,0.16,2.51,2004-11-16,2004
""Star Wars: Dark Forces"",Shooter,""LucasArts"",NULL,1.4,0.98,NULL,0.13,2.5,1995-02-28,1995
""NASCAR 99"",Racing,""EA Sports"",NULL,2.39,0.08,NULL,0.05,2.5,1998-09-11,1998
""SoulCalibur II"",Fighting,""Namco"",9.1,1.77,0.5,0.14,0.08,2.5,2003-08-27,2003
""Game Party"",Misc,""Midway Games"",2.6,1.47,0.77,NULL,0.24,2.49,2007-11-27,2007
""Theme Hospital"",Strategy,""Electronic Arts"",6.4,2.33,0.12,0.03,0.01,2.49,1997-03-31,1997
""Teenage Mutant Ninja Turtles"",Action,""Konami"",NULL,1.6,0.73,NULL,0.16,2.49,2003-10-21,2003
""WWF Attitude"",Fighting,""Acclaim Entertainment"",NULL,1.84,0.55,NULL,0.08,2.47,1999-06-01,1999
""007: The World is Not Enough"",Shooter,""Electronic Arts"",6.9,1.64,0.73,0.02,0.09,2.47,2000-10-17,2000
""Just Dance 2017"",Music,""Ubisoft"",6.5,1.15,1.1,NULL,0.22,2.47,2016-10-25,2016
""Fallout 76"",Role-Playing,""Bethesda Softworks"",4.6,1.23,0.82,0.1,0.31,2.46,2018-11-14,2018
""WWE 2K17"",Sports,""2K Games"",NULL,0.83,1.28,NULL,0.33,2.46,2016-10-11,2016
""LEGO The Hobbit"",Action-Adventure,""Warner Bros. Interactive Entertainment"",7,0.8,1.36,NULL,0.3,2.46,2014-04-08,2014
""Dying Light"",Action,""Warner Bros. Interactive"",NULL,1.18,0.74,0.13,0.4,2.45,2015-01-27,2015
""Pro Evolution Soccer 2013"",Sports,""Konami Digital Entertainment"",NULL,0.31,1.05,0.83,0.27,2.45,2012-09-25,2012
""Twisted Metal 2"",Racing,""Sony Computer Entertainment"",8.7,2.12,0.25,NULL,0.07,2.44,1996-10-31,1996
""uDraw Studio"",Misc,""THQ"",NULL,1.65,0.58,NULL,0.21,2.44,2010-11-14,2010
""Rise of the Tomb Raider"",Adventure,""Square Enix"",NULL,0.82,1.2,0.05,0.35,2.44,2015-11-10,2015
""Tiger Woods PGA Tour 2005"",Sports,""EA Sports"",NULL,1.77,0.54,NULL,0.12,2.44,2004-09-20,2004
""NFL Street"",Sports,""EA Sports BIG"",8.3,1.91,0.3,NULL,0.22,2.43,2004-01-13,2004
""Marvel vs. Capcom 3: Fate of Two Worlds"",Fighting,""Capcom"",8.3,1.6,0.46,0.14,0.23,2.43,2011-02-15,2011
""Sonic Adventure"",Platform,""Sega"",5.8,1.26,0.61,0.46,0.08,2.42,1999-09-09,1999
""Tom Clancy's Rainbow Six 3"",Shooter,""Ubisoft"",6.5,1.35,0.89,NULL,0.17,2.42,2003-03-18,2003
""Assassin's Creed: Rogue"",Action,""Ubisoft"",NULL,1.12,0.93,0.07,0.3,2.42,2014-11-11,2014
""Skylanders: SuperChargers"",Action-Adventure,""Activision"",8,1.47,0.67,NULL,0.29,2.42,2015-09-20,2015
""Halo: Combat Evolved Anniversary"",Shooter,""Microsoft Studios"",8,1.44,0.71,0.04,0.22,2.41,2011-11-15,2011
""Kinect: Disneyland Adventures"",Action-Adventure,""Microsoft Studios"",8.5,1.73,0.43,0.02,0.23,2.41,2011-11-15,2011
""ATV Offroad Fury"",Racing,""Sony Computer Entertainment"",8.4,2.07,0.26,NULL,0.08,2.41,2001-02-05,2001
""Grand Theft Auto: Chinatown Wars"",Adventure,""Rockstar Games"",9.4,0.86,1.06,0.08,0.41,2.41,2009-03-17,2009
""F1 2011"",Racing,""Codemasters"",7.6,0.33,1.57,0.13,0.39,2.41,2011-09-19,2011
""LEGO Worlds"",Misc,""Warner Bros. Interactive Entertainment"",5,0.7,1.4,0.04,0.26,2.41,2015-06-01,2015
""Forza Motorsport 5"",Racing,""Microsoft Studios"",NULL,1.28,0.9,0.01,0.21,2.4,2013-11-22,2013
""Tetris Plus"",Puzzle,""Jaleco"",NULL,2.1,0.24,NULL,0.07,2.4,1996-09-30,1996
""Mass Effect: Andromeda"",Role-Playing,""Electronic Arts"",NULL,1.12,0.95,NULL,0.33,2.4,2017-03-21,2017
""Frogger's Adventures: Temple of the Frog"",Adventure,""Konami"",6.7,2.15,0.18,NULL,0.07,2.39,2001-10-24,2001
""Mortal Kombat II (US & Others sales)"",Fighting,""Acclaim Entertainment"",NULL,1.78,0.53,NULL,0.08,2.39,1994-01-01,1994
""WCW/nWo Revenge"",Fighting,""THQ"",NULL,1.94,0.39,0.03,0.02,2.38,1998-10-26,1998
""Rocksmith"",Misc,""Ubisoft"",8,1.45,0.6,0.1,0.22,2.38,2011-10-18,2011
""Cabela's Big Game Hunter 2010"",Sports,""Activision"",5.5,2.2,NULL,NULL,0.17,2.37,2009-09-29,2009
""Middle-Earth: Shadow of Mordor"",Action,""Warner Bros. Interactive Entertainment"",NULL,1.13,0.98,0.02,0.24,2.37,2014-09-30,2014
""NBA Jam Tournament Edition"",Sports,""Acclaim Entertainment"",NULL,1.96,0.35,NULL,0.07,2.37,1995-01-01,1995
""Alien: Isolation"",Adventure,""Sega"",NULL,0.8,1.25,0.05,0.29,2.37,2014-10-07,2014
""MX Unleashed"",Racing,""THQ"",NULL,1.28,0.81,NULL,0.27,2.36,2004-02-17,2004
""Madden NFL 2000"",Sports,""EA Sports"",NULL,2.26,0.06,NULL,0.04,2.36,1999-07-31,1999
""Medal of Honor: Airborne"",Shooter,""Electronic Arts"",NULL,0.7,1.26,0.04,0.37,2.36,2007-09-04,2007
""Sonic & Sega All-Stars Racing Transformed"",Racing,""Sega"",6.9,0.68,1.36,0.04,0.28,2.36,2012-11-18,2012
""NBA Live 2001"",Sports,""EA Sports"",NULL,1.22,0.87,0.04,0.21,2.35,2000-10-16,2000
""LEGO Marvel Super Heroes 2"",Action,""Warner Bros. Interactive Entertainment"",NULL,0.96,1.09,0.01,0.29,2.35,2017-11-14,2017
""Shaun White Snowboarding"",Sports,""Ubisoft"",6.2,1.41,0.65,0.01,0.27,2.35,2008-11-16,2008
""NBA Live 07"",Sports,""EA Sports"",6.3,2.01,0.05,0.02,0.25,2.34,2006-09-25,2006
""Mirror's Edge"",Platform,""Electronic Arts"",7.6,0.82,1.15,0.03,0.34,2.34,2008-11-11,2008
""Tomb Raider: Anniversary"",Action,""Eidos Interactive"",7.5,0.86,1.13,NULL,0.36,2.34,2007-06-05,2007
""NBA Live 08"",Sports,""Electronic Arts"",6.8,2.05,0.04,0.02,0.22,2.34,2007-10-01,2007
""Harry Potter and the Goblet of Fire"",Adventure,""Electronic Arts"",6.7,1.85,0.33,NULL,0.16,2.34,2005-11-08,2005
""Kinect Sports: Season Two"",Sports,""Microsoft Studios"",6.6,1.38,0.72,0.02,0.21,2.33,2011-10-25,2011
""Star Wars: Knights of the Old Republic"",Role-Playing,""LucasArts"",9.4,1.69,0.55,NULL,0.1,2.33,2003-07-15,2003
""SpongeBob SquarePants: SuperSponge"",Action,""THQ"",NULL,1.51,0.73,NULL,0.09,2.33,2001-09-21,2001
""Knockout Kings 2000"",Fighting,""EA Sports"",NULL,1.65,0.61,NULL,0.07,2.33,1999-10-03,1999
""Grand Theft Auto"",Action,""Take-Two Interactive"",6,0.79,1.35,0.04,0.14,2.32,1998-06-30,1998
""My Fitness Coach"",Sports,""Ubisoft"",7.1,1.18,0.9,NULL,0.24,2.32,2008-12-02,2008
""Assassin's Creed IV: Black Flag"",Action,""Ubisoft"",8.3,1.51,0.59,NULL,0.22,2.32,2013-11-22,2013
""NBA Live 2003"",Sports,""EA Sports"",8.4,1.79,0.25,0.03,0.24,2.32,2002-10-08,2002
""WWE 2K14"",Fighting,""2K Sports"",7.6,1.13,0.89,NULL,0.3,2.32,2013-10-29,2013
""Tom Clancy's Splinter Cell: Blacklist"",Action-Adventure,""Ubisoft"",8.7,1.01,0.98,0.07,0.27,2.32,2013-08-20,2013
""Cool Boarders 3"",Sports,""989 Studios"",NULL,1.65,0.46,0.1,0.1,2.31,1998-10-28,1998
""Need for Speed: High Stakes"",Racing,""Electronic Arts"",NULL,1.58,0.64,NULL,0.09,2.31,1999-03-01,1999
""Tiger Woods PGA Tour 2003"",Sports,""EA Sports"",NULL,1.33,0.76,NULL,0.23,2.31,2002-10-27,2002
""Mercenaries 2: World in Flames"",Shooter,""Electronic Arts"",6.4,1.15,0.7,0.03,0.43,2.31,2008-08-31,2008
""50 Cent: Bulletproof"",Action,""Vivendi Games"",5.5,1.26,0.86,NULL,0.19,2.3,2005-11-17,2005
""Def Jam: Fight for NY"",Fighting,""Electronic Arts"",NULL,1.29,0.77,NULL,0.24,2.3,2004-09-20,2004
""NBA 2K9"",Sports,""2K Sports"",7.9,1.9,0.17,0,0.22,2.3,2008-10-07,2008
""Crash of the Titans"",Action,""Sierra Entertainment"",6.4,1.67,0.32,NULL,0.3,2.3,2007-10-02,2007
""NFL Street 2"",Sports,""EA Sports BIG"",8.2,1.3,0.77,NULL,0.24,2.29,2004-12-22,2004
""Forza Horizon 2"",Racing,""Microsoft Studios"",NULL,0.91,1.2,0.01,0.18,2.29,2014-09-30,2014
""SingStar Abba"",Misc,""Sony Computer Entertainment"",NULL,0.5,0.55,NULL,1.25,2.29,2008-12-02,2008
""Red Dead Redemption: Undead Nightmare"",Action,""Rockstar Games"",10,1.08,0.83,0.08,0.29,2.29,2010-10-26,2010
""Midnight Club II"",Racing,""Rockstar Games"",NULL,1.67,0.35,NULL,0.26,2.28,2003-04-09,2003
""Tom Clancy's Rainbow Six"",Shooter,""Red Storm Entertainment"",NULL,1.41,0.78,NULL,0.09,2.28,1998-07-31,1998
""Metal Gear Solid HD Collection"",Action,""Konami Digital Entertainment"",NULL,1.09,0.87,0.05,0.28,2.28,2011-11-08,2011
""Star Wars Battlefront II (US sales)"",Shooter,""LucasArts"",NULL,2.18,0.07,NULL,0.02,2.27,2005-11-01,2005
""F1 2010"",Racing,""Codemasters"",8.3,0.43,1.39,0.09,0.37,2.27,2010-09-21,2010
""No Man's Sky"",Action-Adventure,""Hello Games"",6.8,0.89,0.97,0.04,0.37,2.26,2016-01-01,2016
""Crash: Mind Over Mutant"",Platform,""Activision"",6.2,1.31,0.66,NULL,0.28,2.26,2008-10-07,2008
""Just Dance Kids"",Misc,""Ubisoft"",NULL,1.52,0.54,NULL,0.19,2.25,2010-11-09,2010
""Cool Boarders 2"",Sports,""Sony Computer Entertainment"",NULL,1.52,0.46,0.2,0.08,2.25,1997-10-31,1997
""Disney Universe"",Action,""Disney Interactive Studios"",7,1.34,0.65,NULL,0.24,2.25,2011-10-25,2011
""Sonic Advance"",Platform,""Sega"",NULL,1.19,0.71,0.22,0.13,2.24,2002-02-04,2002
""Dead to Rights"",Shooter,""Namco"",3.6,1.32,0.72,NULL,0.2,2.24,2002-08-19,2002
""Turok: Evolution"",Shooter,""Acclaim Entertainment"",7.4,1.33,0.72,NULL,0.2,2.24,2002-08-31,2002
""Dance Dance Revolution X2"",Simulation,""Konami"",NULL,1.09,0.85,NULL,0.28,2.23,2009-10-27,2009
""Teenage Mutant Ninja Turtles II: The Arcade Game"",Action,""Ultra Games"",NULL,1.74,0.25,0.21,0.03,2.23,1990-12-01,1990
""Spyro: Season of Ice"",Platform,""Vivendi Games"",NULL,1.29,0.83,NULL,0.11,2.23,2001-10-29,2001
""Petz Dogz 2"",Simulation,""Ubisoft"",NULL,1.26,0.74,NULL,0.23,2.23,2007-11-13,2007
""DJ Hero 2"",Misc,""Activision"",8.5,1.62,0.4,NULL,0.2,2.23,2010-10-19,2010
""Hasbro Family Game Night"",Misc,""Electronic Arts"",NULL,1.25,0.75,NULL,0.22,2.22,2008-11-11,2008
""WWE 2K18"",Sports,""2K Sports"",NULL,0.94,1,NULL,0.3,2.22,2017-10-17,2017
""Disney Epic Mickey 2: The Power of Two"",Platform,""Disney Interactive Studios"",5.9,1.33,0.64,0.01,0.24,2.22,2012-11-18,2012
""Spy Hunter"",Racing,""Midway Games"",7.9,1.54,0.43,NULL,0.24,2.21,2001-09-24,2001
""Dead Space 3"",Shooter,""Electronic Arts"",NULL,1.11,0.83,NULL,0.27,2.21,2013-02-05,2013
""The Walking Dead: A Telltale Games Series"",Adventure,""Telltale Games"",9.7,1.17,0.64,0.07,0.32,2.21,2012-11-20,2012
""R.B.I. Baseball"",Sports,""Tengen"",NULL,0.15,NULL,2.05,NULL,2.2,1988-01-01,1988
""High School Musical: Makin' the Cut!"",Puzzle,""Disney Interactive Studios"",7.3,1.06,0.9,NULL,0.23,2.2,2007-08-14,2007
""Metal Gear Solid V: Ground Zeroes"",Action-Adventure,""Konami Digital Entertainment"",8.1,0.68,0.81,0.46,0.25,2.2,2014-03-18,2014
""Dante's Inferno"",Action,""Electronic Arts"",6.4,1.39,0.52,0.07,0.22,2.2,2010-02-09,2010
""The Amazing Spider-Man (2012)"",Action-Adventure,""Activision"",6.8,1.2,0.74,NULL,0.25,2.2,2012-06-26,2012
""Def Jam Vendetta"",Fighting,""EA Sports BIG"",8.8,1.14,0.79,NULL,0.26,2.19,2003-03-31,2003
""Mortal Kombat 4"",Fighting,""Midway Games"",NULL,1.36,0.72,NULL,0.11,2.19,1997-09-11,1997
""South Park: The Fractured But Whole"",Role-Playing,""Ubisoft"",9.5,1.1,0.79,NULL,0.31,2.19,2017-10-17,2017
""ATV Offroad Fury 2"",Racing,""Sony Computer Entertainment"",8.7,1.92,0.2,NULL,0.06,2.18,2002-11-09,2002
""FIFA Street (2012)"",Sports,""EA Sports"",NULL,0.34,1.54,NULL,0.31,2.18,2012-03-13,2012
""Rock Band 3"",Misc,""MTV Games"",9.1,1.76,0.25,NULL,0.18,2.18,2010-10-26,2010
""PlayerUnknown's Battlegrounds"",Shooter,""Microsoft Studios"",NULL,1.29,0.69,NULL,0.2,2.17,2017-12-12,2017
""NBA Ballers"",Sports,""Midway Games"",NULL,1.18,0.74,NULL,0.23,2.17,2004-04-05,2004
""Tomb Raider: Definitive Edition"",Action-Adventure,""Square Enix"",NULL,0.85,0.96,0.06,0.29,2.17,2014-01-28,2014
""NCAA Football 2003"",Sports,""EA Sports"",9.2,1.71,0.23,NULL,0.22,2.17,2002-07-20,2002
""Wolfenstein II: The New Colossus"",Shooter,""Bethesda Softworks"",8.6,1.05,0.82,0.01,0.3,2.17,2017-10-27,2017
""South Park: The Stick of Truth"",Role-Playing,""Ubisoft"",NULL,1.16,0.73,NULL,0.28,2.17,2014-03-04,2014
""Your Shape featuring Jenny McCarthy"",Sports,""Ubisoft"",6,1.5,0.46,NULL,0.19,2.16,2009-11-24,2009
""The Sims: House Party"",Simulation,""Maxis"",NULL,1.23,0.83,NULL,0.1,2.16,2001-03-26,2001
""PlayStation VR Worlds"",Misc,""Sony Interactive Entertainment"",NULL,0.36,1.4,0.09,0.32,2.16,2016-10-13,2016
""Tom Clancy's Splinter Cell: Conviction"",Action,""Ubisoft"",8.3,1.2,0.7,0.04,0.21,2.16,2010-04-13,2010
""Fight Night 2004"",Fighting,""EA Sports"",NULL,1.59,0.35,NULL,0.22,2.16,2004-04-05,2004
""Army of Two: The 40th Day"",Shooter,""Electronic Arts"",6,1.21,0.64,0.01,0.3,2.16,2010-01-12,2010
""Tony Hawk: RIDE"",Sports,""Activision"",4.4,1.53,0.42,NULL,0.21,2.16,2009-11-17,2009
""NCAA Football 11"",Sports,""EA Sports"",7.8,1.84,0.15,NULL,0.17,2.16,2010-07-13,2010
""Madagascar: Escape 2 Africa"",Action,""Activision"",NULL,1.09,0.61,NULL,0.46,2.16,2008-11-04,2008
""Syphon Filter 2"",Shooter,""989 Studios"",NULL,1.5,0.55,0.02,0.08,2.15,2000-02-29,2000
""Gun"",Shooter,""Activision"",7.7,1.74,0.22,NULL,0.2,2.15,2005-11-08,2005
""Harry Potter and the Prisoner of Azkaban"",Adventure,""Electronic Arts"",7,1.3,0.68,NULL,0.16,2.15,2004-05-25,2004
""Call of Duty: Roads to Victory"",Shooter,""Activision"",6.1,0.52,1.03,NULL,0.59,2.14,2007-03-13,2007
""Bayonetta"",Action,""Sega"",8.8,0.95,0.65,0.3,0.24,2.14,2010-01-05,2010
""Tony Hawk's Proving Ground"",Sports,""Activision"",7.2,1.82,0.11,NULL,0.21,2.14,2007-10-15,2007
""Dance Dance Revolution Extreme"",Simulation,""Konami"",NULL,1.04,0.81,NULL,0.27,2.13,2004-09-21,2004
""Demon Attack"",Shooter,""Imagic"",NULL,1.99,0.12,NULL,0.02,2.13,1982-01-01,1982
""LEGO Rock Band"",Misc,""Warner Bros. Interactive"",7.5,1.37,0.54,NULL,0.21,2.13,2009-11-03,2009
""Call of Duty 2"",Shooter,""Activision"",7.9,1.84,0.09,0.01,0.17,2.12,2005-10-25,2005
""NASCAR 2000"",Racing,""EA Sports"",NULL,1.37,0.63,NULL,0.1,2.12,1999-09-30,1999
""MySims Agents"",Adventure,""Electronic Arts"",7.5,1.17,0.74,0,0.21,2.12,2009-09-29,2009
""Scooby-Doo! First Frights"",Adventure,""Warner Bros. Interactive"",NULL,1.58,0.23,NULL,0.3,2.12,2009-09-22,2009
""Tak and the Power of Juju"",Platform,""THQ"",NULL,1.26,0.67,NULL,0.17,2.1,2003-10-15,2003
""Aliens vs Predator"",Shooter,""Sega"",6.1,0.96,0.86,NULL,0.29,2.1,2010-02-16,2010
""Prince of Persia: The Forgotten Sands"",Action,""Ubisoft"",7.5,0.82,0.95,0.02,0.31,2.1,2010-05-18,2010
""Need for Speed: Most Wanted 5-1-0"",Racing,""Electronic Arts"",7.4,1.77,0.13,0.02,0.17,2.09,2005-11-15,2005
""WCW Nitro"",Fighting,""THQ"",NULL,1.59,0.4,0.03,0.07,2.09,1998-01-01,1998
""Metal Gear Solid: Peace Walker"",Action,""Konami"",8.6,0.46,0.42,0.96,0.25,2.08,2010-06-08,2010
""Disney Sing It: Pop Hits"",Misc,""Disney Interactive Studios"",6.8,1.34,0.36,NULL,0.37,2.08,2009-10-06,2009
""Prince of Persia"",Adventure,""Ubisoft"",8.4,1.01,0.75,0.05,0.27,2.08,2008-12-02,2008
""Spec Ops: Airborne Commando"",Shooter,""Gotham Games"",NULL,1.54,0.46,NULL,0.08,2.07,2002-10-31,2002
""Dance Dance Revolution: Hottest Party"",Simulation,""Konami"",NULL,1.35,0.53,NULL,0.19,2.07,2007-09-25,2007
""R4: Ridge Racer Type 4"",Racing,""Namco"",9.1,0.68,0.46,0.79,0.13,2.06,1999-05-04,1999
""Midway Arcade Treasures"",Misc,""Midway Games"",6.8,1.18,0.67,NULL,0.2,2.06,2003-11-17,2003
""NFL 2K3"",Sports,""Sega"",9,1.61,0.23,NULL,0.21,2.06,2002-08-12,2002
""GRID"",Racing,""Codemasters"",8.3,0.68,1.04,0.04,0.29,2.06,2008-06-03,2008
""Sid Meier's Civilization Revolution"",Strategy,""2K Games"",8.3,1.44,0.39,0.03,0.19,2.06,2008-07-08,2008
""Shrek the Third"",Action,""Activision"",NULL,1.53,0.29,NULL,0.26,2.06,2007-05-02,2007
""Famista '89 - Kaimaku Han!!"",Sports,""Namco"",NULL,NULL,NULL,2.05,NULL,2.05,1989-07-28,1989
""Dark Souls"",Role-Playing,""Namco Bandai"",9,0.75,0.53,0.54,0.22,2.05,2011-10-04,2011
""NBA Jam"",Sports,""Arena Entertainment"",NULL,1.75,0.25,NULL,0.05,2.05,1993-01-01,1993
""Dave Mirra Freestyle BMX 2"",Sports,""Acclaim Entertainment"",8,1.17,0.68,NULL,0.2,2.05,2001-08-27,2001
""NCAA Football 14"",Sports,""EA Sports"",7.6,1.76,NULL,NULL,0.29,2.05,2013-07-09,2013
""UFC Undisputed 3"",Fighting,""THQ"",NULL,1.27,0.53,0.03,0.22,2.05,2012-02-14,2012
""The Evil Within"",Misc,""Bethesda Softworks"",6.7,0.91,0.78,0.14,0.22,2.05,2014-10-14,2014
""SOCOM: U.S. Navy SEALs: Combined Assault"",Shooter,""Sony Computer Entertainment"",NULL,1.74,0.02,NULL,0.28,2.04,2006-11-07,2006
""Dragon Quest XI: Echoes of an Elusive Age"",Role-Playing,""Square Enix"",9.5,0.29,0.22,1.43,0.1,2.04,2018-09-04,2018
""PGR4 - Project Gotham Racing 4"",Racing,""Microsoft Game Studios"",8.6,0.48,1.28,0.02,0.25,2.04,2007-10-02,2007
""Dance Central 2"",Music,""Microsoft"",8.6,1.45,0.41,0.01,0.16,2.04,2011-10-25,2011
""Carnival Games"",Misc,""2K Play"",NULL,1.22,0.63,NULL,0.19,2.04,2008-07-08,2008
""Madden NFL 25"",Sports,""Electronic Arts"",7.5,1.62,0.03,NULL,0.38,2.04,2013-08-27,2013
""Major League Baseball 2K5"",Sports,""2K Sports"",NULL,1.24,0.58,NULL,0.21,2.04,2005-02-23,2005
""Dark Souls II"",Role-Playing,""Namco Bandai Games"",NULL,0.87,0.54,0.42,0.22,2.04,2014-04-24,2014
""NCAA Football 13"",Sports,""EA Sports"",7.3,1.84,NULL,NULL,0.2,2.04,2012-07-10,2012
""Blazing Angels: Squadrons of WWII"",Simulation,""Ubisoft"",6.4,1.54,0.3,NULL,0.19,2.04,2006-03-23,2006
""Tiger Woods PGA Tour 09"",Sports,""EA Sports"",6.8,0.92,0.64,NULL,0.48,2.03,2008-08-26,2008
""Driv3r"",Racing,""Atari"",NULL,0.98,0.86,NULL,0.19,2.02,2004-06-21,2004
""NBA Live 09"",Sports,""Electronic Arts"",6.1,1.52,0.22,0.06,0.22,2.02,2008-10-07,2008
""Max Payne 2: The Fall of Max Payne"",Shooter,""Rockstar Games"",8.2,1.12,0.68,NULL,0.19,2.01,2003-10-14,2003
""Rockstar Games presents Table Tennis"",Sports,""Rockstar Games"",7.4,0.67,1.11,NULL,0.23,2.01,2006-05-22,2006
""WCW Mayhem"",Fighting,""Electronic Arts"",NULL,1.31,0.61,NULL,0.09,2.01,1999-09-22,1999
""Driver: San Francisco"",Racing,""Ubisoft"",7.9,0.61,1.09,0.01,0.29,2.01,2011-09-06,2011
""Mx vs. ATV Reflex"",Racing,""THQ"",6.4,1.35,0.43,NULL,0.23,2.01,2009-12-01,2009
""TouchMaster"",Puzzle,""Midway Games"",6.9,0.48,1.27,NULL,0.24,2,2007-06-25,2007
""Metal Gear Rising: Revengeance"",Action,""Konami Digital Entertainment"",9,0.77,0.56,0.44,0.23,2,2013-02-19,2013
""Red Dead Revolver"",Shooter,""Rockstar Games"",NULL,1.11,0.67,NULL,0.21,2,2004-05-03,2004
""Lego Marvel Super Heroes: Universe in Peril"",Action,""Warner Bros. Interactive Entertainment"",NULL,0.75,0.96,0.04,0.24,2,2013-10-22,2013
""Tiger Woods PGA Tour 06"",Sports,""EA Sports"",7.4,1.64,0.16,NULL,0.17,2,2005-09-20,2005
""NBA 2K8"",Sports,""2K Sports"",NULL,1.79,0.03,NULL,0.2,2,2007-10-02,2007
""Just Dance 2018"",Music,""Ubisoft"",8,0.84,0.96,NULL,0.19,2,2017-10-24,2017
